url,label,notas,domain_base
https://www.caixabank.es/particular/banca-digital.html,0,home bancaria oficial,caixabank.es
https://accounts.google.com/ServiceLogin?service=wise,0,login Google oficial,accounts.google.com
https://www.roblox.com/es/upgrades/robux?ctx=navpopover,0,portal Roblox oficial,roblox.com
https://zoom.us/es/join,0,página de reuniones Zoom oficial,zoom.us
https://www.unicismadrid.es,0,portal Universidad de Madrid oficial,unicismadrid.es
https://www.pass.carrefour.es/zona-cliente/,0,zona cliente Carrefour oficial,pass.carrefour.es
https://help.coinbase.com/es-es,0,centro de ayuda Coinbase oficial,help.coinbase.com
https://ing.ingdirect.es/pfm/#login,0,login oficial clientes,ing.ingdirect.es
https://www.financieraelcorteingles.es/es/pago-de-recibos/,0,portal Financiera El Corte Inglés oficial,financieraelcorteingles.es
https://www.pccomponentes.com/login,0,login PcComponentes oficial,pccomponentes.com
https://www.mediamarkt.es/es/service/opciones-de-pago,0,portal MediaMarkt oficial,mediamarkt.es
https://www.coinbase.com/es-es,0,portal Coinbase oficial,coinbase.com
https://www.dropbox.com/es_ES/login,0,login Dropbox oficial,dropbox.com
https://identidad.ibercaja.es/soporte/plataforma/identidad/api/v1/Account/Login,0,login oficial clientes,identidad.ibercaja.es
https://www.bancsabadell.com/bsnacional/es/empresas/,0,home bancaria oficial,bancsabadell.com
https://www.mrw.es/seguimiento/,0,seguimiento/envíos oficial,mrw.es
https://sede.dgt.gob.es/es/multas/pago-de-multas/,0,sede electrónica DGT (trámites),sede.dgt.gob.es
https://univia.unicajabanco.es/login,0,login oficial clientes,univia.unicajabanco.es
https://www.dgt.es/inicio/,0,portal DGT oficial,dgt.es
https://www.ibercaja.es/particulares/cuentas-tarjetas/cuentas/cuenta-vamos/,0,home bancaria oficial,ibercaja.es
https://www.ing.es/sobre-ing/app.html,0,app móvil oficial,ing.es
https://www.ionos.es/ayuda/sitios-web-tiendas/comprar-mywebsite-now-y-mywebsite-creator/pagos/,0,soporte IONOS oficial,ionos.es
https://pasarela.clave.gob.es/Proxy2/ServiceProvider,0,portal Cl@ve oficial,pasarela.clave.gob.es
https://www.netflix.com/es/login,0,login Netflix oficial,netflix.com
https://sede.agenciatributaria.gob.es,0,sede electrónica Agencia Tributaria (trámites),sede.agenciatributaria.gob.es
https://areaclientes.orange.es,0,área de clientes Orange oficial,areaclientes.orange.es
https://www.microsoft.com/es-es/microsoft-365/outlook/log-in,0,portal Outlook oficial,microsoft.com
https://www.zara.com/es/es/logon,0,portal Zara oficial,zara.com
https://www.portalcliente.mercadona.es/,0,portal Mercadona oficial,portalcliente.mercadona.es
https://solicitudonline.abanca.com/Contratacion/es/contratacion_cuenta_clara_TdC_dinero/J,0,portal contratación Abanca oficial,solicitudonline.abanca.com
https://www.seg-social.es/wps/portal/wss/internet/Inicio,0,portal Seguridad Social oficial,seg-social.es
