url,score_total,signals_detected,timestamp,scoring_version,is_ing_brand,reason_ing,signals_ing,foreign_flag,compromised_host_es
http://1505270148.nzingaadvisors.co.za/ipfs/bafybeihhfqmqfzqrrctrrqgpdcnbym74jt3pdj5ojwslcol35425aqezle/mty5nju0njcymq?mtc0mzc3mtaznq==-sfmaxz2vulxbnec0xmduxotu4mjg0lwlmehjves5icmlja2vylwlzehbhcmfnb25zb2x1dglvbnmuy29tsf-1mc4w,5,spanish_brand:ing;brand_plus_spanish_token;brand_in_subdomain,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,internal_ing_in_token:nzingaadvisors;treated_as_false_positive_ing,True,False
http://3opqgzo7ypusuestivdlcb2bev8gqzooj7k6gyfvhm2rsmtvingbjdkrnfwrqx9.xzone.no/a/1/kjfar.php?p=n49gvzita0may6mek2k0sch2jnu0ejczwdwsgi938945scdsfghjsastytersz%20sderwaeetrabe%20rhtutyddntmew74342hdfjsixaai6cel2k0fco2dhx4ftgn49gvzita0may6mek2k0sch2jnu0ejczwdwsgiboaoweue5_jfncn_product-userid&email=,5,spanish_brand:ing;brand_plus_spanish_token;brand_in_subdomain,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,internal_ing_in_token:3opqgzo7ypusuestivdlcb2bev8gqzooj7k6gyfvhm2rsmtvingbjdkrnfwr;treated_as_false_positive_ing,True,False
http://53bankpendingholdnottices.dynvpn.de/53bank/home.html?rbcp4ygapximaqgpsimsxrkknzmyvzv3wai6tqtijnbj34y3i8qjez3ojj9ylsr9irjj8nzce,5,spanish_brand:ing;brand_plus_spanish_token;brand_in_subdomain,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,internal_ing_in_token:53bankpendingholdnottices;treated_as_false_positive_ing,True,False
http://acces-s-ing-de.de.cool/rana,5,spanish_brand:ing;brand_plus_spanish_token;brand_in_subdomain,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,True,False
http://airconditioninggauteng.sobeit.co.za/hutington/huntington.htm,5,spanish_brand:ing;brand_in_subdomain;shortener_spain,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,internal_ing_in_token:airconditioninggauteng;treated_as_false_positive_ing,True,False
http://airconditioninggauteng.sobeit.co.za/hutington/sec-huntington.htm,5,spanish_brand:ing;brand_in_subdomain;shortener_spain,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,internal_ing_in_token:airconditioninggauteng;treated_as_false_positive_ing,True,False
http://airconditioninggauteng.sobeit.co.za/hutington/security.htm,5,spanish_brand:ing;brand_in_subdomain;shortener_spain,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,internal_ing_in_token:airconditioninggauteng;treated_as_false_positive_ing,True,False
http://als-trading.co.uk/wp-includes/certificates/dsk,5,spanish_brand:ing;brand_plus_spanish_token;brand_in_subdomain,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,True,False
http://als-trading.co.uk/wp-includes/certificates/dsk/page/billing.html?username=,5,spanish_brand:ing;brand_plus_spanish_token;brand_in_subdomain,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,True,False
http://als-trading.co.uk/wp-includes/certificates/dsk/page/card.html?username=,5,spanish_brand:ing;brand_plus_spanish_token;brand_in_subdomain,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,True,False
http://als-trading.co.uk/wp-includes/certificates/dsk/page/sms.html,5,spanish_brand:ing;brand_plus_spanish_token;brand_in_subdomain,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,True,False
http://als-trading.co.uk/wp-includes/widgets/bcr,5,spanish_brand:ing;brand_plus_spanish_token;brand_in_subdomain,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,True,False
