url,score_total,signals_detected,timestamp,scoring_version,is_ing_brand,reason_ing,signals_ing,foreign_flag,compromised_host_es,tld,spanish_brand_detected,spanish_token_count,es_signal_strong,prob_model_phishing,label_model
http://0c4d4e6.wcomhost.com/banco-santander/particulares/iogin/home/sms_codigo.php,6,spanish_brand:santander;brand_plus_spanish_token;shortener_spain;brand_global_tld_boost,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,False,False,com,True,1,True,0.9716969902052366,1
http://0c4d4e6.wcomhost.com/Banco-Santander/particulares/Iogin/home/sms_codigo.php,6,spanish_brand:santander;brand_plus_spanish_token;shortener_spain;brand_global_tld_boost,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,False,False,com,True,1,True,0.9716969902052366,1
http://actividadesinusuales-santander-tarjetasonline.com/particulares,5,has_kw:tarjeta;spanish_brand:santander;brand_plus_spanish_token;brand_global_tld_boost,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,False,False,com,True,1,True,0.9995604047312241,1
http://alerta-caixabank1.serveirc.com/caixa-vbvfinal/home/espera2.html,6,spanish_brand:caixabank;brand_plus_spanish_token;brand_in_subdomain;brand_global_tld_boost,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,False,False,com,True,0,True,0.9572725122921879,1
http://alerta-caixabank1.serveirc.com/caixa-vbvfinal/home/espera.html,6,spanish_brand:caixabank;brand_plus_spanish_token;brand_in_subdomain;brand_global_tld_boost,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,False,False,com,True,0,True,0.9572725122921879,1
http://alerta-caixabank1.serveirc.com/caixa-vbvfinal/home/tarjeta.html,5,has_kw:tarjeta;spanish_brand:caixabank;brand_in_subdomain;brand_global_tld_boost,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,False,False,com,True,1,True,0.9572725122921879,1
http://alsheharymedical.com.ye/retail.santander.co.uk_LOGSUK_NS_ENS_BtoChannelDriver.ssobto_dse_operationNameLOGONdse_processorState=initialUpdateMissing.html,5,spanish_brand:santander;spanish_brand:ing;brand_plus_spanish_token;brand_global_tld_boost,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,False,False,ye,True,0,True,0.9998285398999015,1
http://bancosantanderspain.blogspot.tw,5,spanish_brand:santander;brand_plus_spanish_token;brand_in_subdomain,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,False,False,tw,True,1,True,0.9872971355922077,1
http://bbva.aviso-vigente.com/tarjetas/alert.php,5,has_kw:tarjeta;spanish_brand:bbva;brand_in_subdomain;brand_global_tld_boost,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,False,False,com,True,1,True,0.9928091343931124,1
http://bbva-ingress-seger-2-z.hstn.me,6,spanish_brand:bbva;spanish_brand:ing;brand_plus_spanish_token;brand_in_subdomain,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,False,False,me,True,0,True,0.93258552665578,1
