url,score_total,signals_detected,timestamp,scoring_version,is_ing_brand,reason_ing,signals_ing,foreign_flag,compromised_host_es,tld,spanish_brand_detected,spanish_token_count,es_signal_strong
http://0c4d4e6.wcomhost.com/banco-santander/particulares/iogin/home/sms_codigo.php,6,spanish_brand:santander;brand_plus_spanish_token;shortener_spain;brand_global_tld_boost,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,False,False,com,True,1,True
http://0c4d4e6.wcomhost.com/Banco-Santander/particulares/Iogin/home/sms_codigo.php,6,spanish_brand:santander;brand_plus_spanish_token;shortener_spain;brand_global_tld_boost,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,False,False,com,True,1,True
http://actividadesinusuales-santander-tarjetasonline.com/particulares,5,has_kw:tarjeta;spanish_brand:santander;brand_plus_spanish_token;brand_global_tld_boost,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,False,False,com,True,1,True
http://alerta-caixabank1.serveirc.com/caixa-vbvfinal/home/espera2.html,6,spanish_brand:caixabank;brand_plus_spanish_token;brand_in_subdomain;brand_global_tld_boost,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,False,False,com,True,0,True
http://alerta-caixabank1.serveirc.com/caixa-vbvfinal/home/espera.html,6,spanish_brand:caixabank;brand_plus_spanish_token;brand_in_subdomain;brand_global_tld_boost,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,False,False,com,True,0,True
http://alerta-caixabank1.serveirc.com/caixa-vbvfinal/home/tarjeta.html,5,has_kw:tarjeta;spanish_brand:caixabank;brand_in_subdomain;brand_global_tld_boost,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,False,False,com,True,1,True
http://alsheharymedical.com.ye/retail.santander.co.uk_LOGSUK_NS_ENS_BtoChannelDriver.ssobto_dse_operationNameLOGONdse_processorState=initialUpdateMissing.html,5,spanish_brand:santander;spanish_brand:ing;brand_plus_spanish_token;brand_global_tld_boost,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,False,False,ye,True,0,True
http://bancosantanderspain.blogspot.tw,5,spanish_brand:santander;brand_plus_spanish_token;brand_in_subdomain,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,False,False,tw,True,1,True
http://bbva.aviso-vigente.com/tarjetas/alert.php,5,has_kw:tarjeta;spanish_brand:bbva;brand_in_subdomain;brand_global_tld_boost,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,False,False,com,True,1,True
http://bbva-ingress-seger-2-z.hstn.me,6,spanish_brand:bbva;spanish_brand:ing;brand_plus_spanish_token;brand_in_subdomain,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,False,False,me,True,0,True
http://bbva-ingress-segur-2cop.hstn.me,6,spanish_brand:bbva;spanish_brand:ing;brand_plus_spanish_token;brand_in_subdomain,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,False,False,me,True,0,True
http://bbva.movil-aviso.com/cvv.php,6,spanish_brand:bbva;brand_plus_spanish_token;brand_in_subdomain;brand_global_tld_boost,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,False,False,com,True,1,True
http://bbvanuevomensaje.com/0mtlmmzi=/infodetarjeta.php?code-sms-valid_bbva_nfpb=true&_pagelabel=as_login_page&connexioncompte_2actionevt=afficher&lieu.x=es_sms-code',5,has_kw:tarjeta;spanish_brand:bbva;brand_plus_spanish_token;brand_global_tld_boost,2025-10-10T16:59:10.781436,v1 (v2.6 interna),False,not_brand,,False,False,com,True,2,True
