url,label,domain_length,domain_entropy,num_params,contains_at,contains_percent,contains_equal,protocol,tld_group,suspicious_path_token,free_hosting,trusted_path_token
https://www.caixabank.es/particular/banca-digital.html,0,9,2.6416041678685933,0,0,0,0,1,es,1,0,1
https://accounts.google.com/ServiceLogin?service=wise,0,6,1.9182958340544893,1,0,0,1,1,com,0,0,1
https://www.roblox.com/es/upgrades/robux?ctx=navpopover,0,6,2.2516291673878226,1,0,0,1,1,com,0,0,0
https://zoom.us/es/join,0,4,1.5,0,0,0,0,1,otros,0,0,0
https://www.roblox.com/es/login,0,6,2.2516291673878226,0,0,0,0,1,com,0,0,1
https://www.unicismadrid.es,0,12,3.0220552088742005,0,0,0,0,1,es,0,0,0
https://www.pass.carrefour.es/zona-cliente/,0,9,2.6416041678685933,0,0,0,0,1,es,0,0,0
https://help.coinbase.com/es-es,0,8,3.0,0,0,0,0,1,com,0,0,0
https://ing.ingdirect.es/pfm/#login,0,9,2.94770277922009,0,0,0,0,1,es,0,0,0
https://www.financieraelcorteingles.es/es/pago-de-recibos/,0,23,3.414441303694973,0,0,0,0,1,es,0,0,0
https://www.pccomponentes.com/login,0,13,2.931208948910323,0,0,0,0,1,com,0,0,1
https://www.mediamarkt.es/es/service/opciones-de-pago,0,10,2.9219280948873623,0,0,0,0,1,es,0,0,0
https://www.coinbase.com/es-es,0,8,3.0,0,0,0,0,1,com,0,0,0
https://www.dropbox.com/es_ES/login,0,7,2.5216406363433186,0,0,0,0,1,com,0,0,1
https://identidad.ibercaja.es/soporte/plataforma/identidad/api/v1/Account/Login,0,8,2.75,0,0,0,0,1,es,0,0,1
https://www.bancsabadell.com/bsnacional/es/empresas/,0,12,2.8553885422075336,0,0,0,0,1,com,0,0,1
https://www.mrw.es/seguimiento/,0,3,1.584962500721156,0,0,0,0,1,es,0,0,0
https://sede.dgt.gob.es/es/multas/pago-de-multas/,0,3,1.584962500721156,0,0,0,0,1,otros,0,0,0
https://sede.dgt.gob.es/es/otros-tramites/cita-previa/index.html,0,3,1.584962500721156,0,0,0,0,1,otros,1,0,0
https://univia.unicajabanco.es/login,0,12,2.8553885422075336,0,0,0,0,1,es,0,0,1
https://www.dgt.es/inicio/,0,3,1.584962500721156,0,0,0,0,1,es,0,0,0
https://www.ibercaja.es/particulares/cuentas-tarjetas/cuentas/cuenta-vamos/,0,8,2.75,0,0,0,0,1,es,0,0,0
https://www.ing.es/sobre-ing/app.html,0,3,1.584962500721156,0,0,0,0,1,es,1,0,0
https://www.ionos.es/ayuda/sitios-web-tiendas/comprar-mywebsite-now-y-mywebsite-creator/pagos/,0,5,1.9219280948873623,0,0,0,0,1,es,0,0,0
