campaign,categoria,confianza,confidence,dataset_split,domain,entidad,free_hosting,inclusion,is_https,label,matched_target,notas,route_type,ruido,score_total_v2,sector,sector_norm,source,timestamp,url,url_norm,domain_complexity,host_entropy,domain_whitelist_score,suspicious_path_token,token_density,trusted_token_context,infra_risk,fake_tld_in_subdomain_or_path,param_count_boost,subdomain,tld,path
,banca,,,,caixabank.es,caixabank,,,,0,caixabank,home bancaria oficial,,,,,,,,https://www.caixabank.es/particular/banca-digital.html,https://www.caixabank.es/particular/banca-digital.html,0.5084954324164709,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,www,es,/particular/banca-digital.html
,,,95.0,,ibercaja.es,Ibercaja,0.0,,1.0,0,,,home-particulares,,,Banca,,manual,2025-10-22,https://www.ibercaja.es/particulares/,https://www.ibercaja.es/particulares,0.5012499973958399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,www,es,/particulares/
,,,90.0,,wizink.es,WiZink,0.0,,1.0,0,,,producto-tarjeta,,,Banca,,manual,2025-10-22,https://www.wizink.es/tarjetas,https://www.wizink.es/tarjetas,0.4514765124495458,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,www,es,/tarjetas
,,,95.0,,wizink.es,WiZink,0.0,,1.0,0,,,home,,,Banca,,manual,2025-10-22,https://www.wizink.es/,https://www.wizink.es,0.4514765124495458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,www,es,/
,,,90.0,,cetelem.es,Cetelem,0.0,,1.0,0,,,credito-prestamos,,,Banca,,manual,2025-10-22,https://www.cetelem.es/credito-y-prestamos/,https://www.cetelem.es/credito-y-prestamos,0.4565144057441149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,www,es,/credito-y-prestamos/
,,,95.0,,cetelem.es,Cetelem,0.0,,1.0,0,,,home,,,Banca,,manual,2025-10-22,https://www.cetelem.es/,https://www.cetelem.es,0.4565144057441149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,www,es,/
,,,90.0,,cajamar.es,Cajamar,0.0,,1.0,0,,,banca-online,,,Banca,,manual,2025-10-22,https://www.cajamar.es/es/particulares/productos-y-servicios/banca-a-distancia/,https://www.cajamar.es/es/particulares/productos-y-servicios/banca-a-distancia,0.4565144057441149,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,www,es,/es/particulares/productos-y-servicios/banca-a-distancia/
,,,90.0,,ibercaja.es,Ibercaja,0.0,,1.0,0,,,empresas,,,Banca,,manual,2025-10-22,https://www.ibercaja.es/empresas/,https://www.ibercaja.es/empresas,0.5012499973958399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,www,es,/empresas/
,,,95.0,,cajamar.es,Cajamar,0.0,,1.0,0,,,home-particulares,,,Banca,,manual,2025-10-22,https://www.cajamar.es/es/particulares/,https://www.cajamar.es/es/particulares,0.4565144057441149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,www,es,/es/particulares/
,,,90.0,,kutxabank.es,Kutxabank,0.0,,1.0,0,,,banca-online,,,Banca,,manual,2025-10-22,https://portal.kutxabank.es/cs/Satellite/kb/es/particulares/banca-online,https://portal.kutxabank.es/cs/satellite/kb/es/particulares/banca-online,0.5135255328219499,0.3231203125901445,0.0,0.0,0.1071428571428571,0.0,0.0,1.0,0.0,portal,es,/cs/satellite/kb/es/particulares/banca-online
