url,matched_target,categoria,legítima
http://caixacapitalrisc.send2sign.es/login,caixabank,banca,https://www.caixabank.es/particular/banca-digital.html
https://b9xja.dgnsvwrk.es/DwD9I@prmk4JYY2V/*toto@microsoft.com,microsoft,saas,https://accounts.google.com/ServiceLogin?service=wise
https://robllox.com.es,roblox,gaming,https://www.roblox.com/es/upgrades/robux?ctx=navpopover
https://zooominvitenotice.es/project/Windows/invite.php,zoom,saas,https://zoom.us/es/join
https://robiox.com.es,roblox,gaming,https://www.roblox.com/es/login
http://unicismadrid.es/wp-content/com/index/ch/login.html,universidad de madrid,público,https://www.unicismadrid.es
https://authline-checkappr0v.com.es/7aIT03j82stf28&sp_aqd=d2lkZ264DGsrFT5vGFGhuTrytrfgUygHjuyTtyYtFGbXJhaQ&th=3/,genérico,genérico,https://www.pass.carrefour.es/zona-cliente/
https://koinbay-login.es,Coinbase,cripto,https://help.coinbase.com/es-es
https://boxperience.es/cuenta/es-ing/ing,ing,banca,https://ing.ingdirect.es/pfm/#login
http://authline-checkappr0v.com.es,genérico,genérico,https://www.financieraelcorteingles.es/es/pago-de-recibos/
http://serv-authveriline.com.es,genérico,genérico,https://www.pccomponentes.com/login
https://asesoriabarrachina.es/wp-includes/strato/?user-agent=Mozilla/5.0+(Windows+NT+10.0,genérico,genérico,https://www.mediamarkt.es/es/service/opciones-de-pago
https://coinbasewalletsupport.es,coinbase,cripto,https://www.coinbase.com/es-es
http://secretosbp.es/DROPBOX/DROPBOX/vinc/,dropbox,saas,https://www.dropbox.com/es_ES/login
https://app-ing.direct-ayuda.com,ing,banca,https://identidad.ibercaja.es/soporte/plataforma/identidad/api/v1/Account/Login
https://app-ing.direct-ayuda.com/esapp/,ing,banca,https://www.bancsabadell.com/bsnacional/es/empresas/
https://correos-paqueteria.com/asset.php,correos,logística,https://www.mrw.es/seguimiento/
https://dgtt48.lat/yyjxzpjg/e2Walj/7,dgt,público,https://sede.dgt.gob.es/es/multas/pago-de-multas/
https://extremas.com.ar/styles/ccDGT/DGT/cc.php,dgt,público,https://sede.dgt.gob.es/es/otros-tramites/cita-previa/index.html
https://ingbanksecure.com/,ing,banca,https://univia.unicajabanco.es/login
https://l.ead.me/DGTspain,dgt,público,https://www.dgt.es/inicio/
https://www.app-ingmovil-cliente.com,ing,banca,https://www.ibercaja.es/particulares/cuentas-tarjetas/cuentas/cuenta-vamos/
https://www.ing-es-movil.com,ing,banca,https://www.ing.es/sobre-ing/app.html
http://soporte_ionos.viajoencoche.es/?rid=48Y9hLX,ionos,saas,https://www.ionos.es/ayuda/sitios-web-tiendas/comprar-mywebsite-now-y-mywebsite-creator/pagos/
http://www.ionosesfacturas.rf.gd/?i=1,IONOS,saas,https://www.ionos.es/ayuda/mi-cuenta/factura-11-ionos/consultar-mis-facturas-de-11-ionos/
https://admin.multa.net/,dgt,público,https://pasarela.clave.gob.es/Proxy2/ServiceProvider
https://idt.oc.cuenta.lonos-facturacion-1and1.enfoquerhgt.com/identifier?pageMessage=wrong-mandant-redirect~~activating&login_hint,ionos,saas,https://www.ionos.es/ayuda/mi-cuenta/gestionar-mis-datos-de-acceso-y-contrasenas/iniciar-sesion-en-ionos-login/
https://ingsecusecuring.web.app/,ing,banca,https://www.ing.es/sobre-ing/app-movil-pc
https://nflx-cuenta.com/,netflix,streaming,https://www.netflix.com/es/login
https://online.multa.net/,dgt,público,https://sede.agenciatributaria.gob.es
https://orangepro0.godaddysites.com/,orange,telecomunicaciones,https://areaclientes.orange.es
https://restablecer-cuenta-outlookk.zya.me/,Outlook,saas,https://www.microsoft.com/es-es/microsoft-365/outlook/log-in
https://soporte-netflx.com/,netflix,streaming,https://www.netflix.com/es/loginHelp
https://alerta-cliente.app,genérico,genérico,https://www.zara.com/es/es/logon
https://alertascliente.webcindario.com/,genérico,genérico,https://www.portalcliente.mercadona.es/
https://infotecnikas.es/re.html,genérico,genérico,https://solicitudonline.abanca.com/Contratacion/es/contratacion_cuenta_clara_TdC_dinero/J
https://iradgt.com/Alibaba/alibaba/index.php,dgt,público,https://www.seg-social.es/wps/portal/wss/internet/Inicio
https://pendientesdeti.es/6d6116da#redacted@abuse.ionos.com,genérico,genérico,https://www.openbank.es/banca-personal
https://sites.google.com/view/ruraless/p%C3%A1gina-principal,Caja Rural,banca,https://www.grupocajarural.es/es
https://w.aviso-cliente.net,genérico,banca,https://www.kutxabank.es/
https://authspacemon.webcindario.com/orangebank/index.php?pwd=TaTe,orange,banca,https://www.kutxabank.es/bmweb/login
http://avisonlines-ahorro.0hi.me/?i=3,genérico,banca,https://www.cajaruraldeasturias.com/es/particulares/nueva-ruralvia
https://acceso-bloqueado.webcindario.com/validacion/validecard.html,genérico,banca,https://www.bankinter.com/empresas/
https://alertabarural.webcindario.com/,caja rural,banca,https://www.ruralcentral.es/es/particulares/004-seguridad-ruralvia
https://app.biaclientefonefacil.digital,genérico,telecomunicaciones,https://yosoymas.masmovil.es/login/primer-acceso
https://comprastokenbip.webcindario.com/inicio.html,genérico,cripto,https://bit2me.com/es
https://enlineaprestamo.webcindario.com/,genérico,banca,https://www.bankinter.com/banca/nav/banca-personal
https://facturapostpago.com/,genérico,telecomunicaciones,https://www.digimobil.es/atencion-cliente
https://form.123formbuilder.com/6236576/para-sms-formulario-de-autorizacion-envio-clave-ivr,genérico,banca,https://univia.unicajabanco.es/recuperar-clave/ayuda
https://merenciano.net/serviciodecorreo/login/,genérico,saas,https://wetransfer.com
https://portaldigitalclientefeliz.blogspot.com/?gclid=EAIaIQobChMI27GY3K22_QIVzylMCh1KoQmjEAMYASAAEgKlr_D_BwE,genérico,genérico,https://www.ibercaja.es/banca-personal/
https://recibo-de-pago.weebly.com/,genérico,genérico,https://univia.unicajabanco.es
https://sites.google.com/view/confirmaciondedatos/p%C3%A1gina-principal,genérico,genérico,https://www.bmedonline.es
https://validar-tarjeta.webcindario.com/,genérico,banca,https://www.unicajabanco.es/es/particulares
https://walletconnect.com-secure.es/,WalletConnect,cripto,https://walletconnect.network
https://bit.ly/Correos-ESP,correos,logística,https://www.correosexpress.es
https://l.ead.me/BBVA24,bbva,banca,https://www.bbva.es/personas.html#
https://particulares-netbancosantander.web.app/,santander,banca,https://www.bancosantander.es/particulares/banca-online/apps/santander
https://soportetuexperto-orange-es.webflow.io/,orange,telecomunicaciones,https://www.orange.es/pago-facturas
https://netflix-pagos.blog/,netflix,streaming,https://www.hbomax.com/es/es/sign-in
https://crelosa.app/lnn/dhl-new%20(1).html,dhl,logística,https://www.dhl.com/es-es/home/seguimiento.html
https://www.binance.com.loginsn.cc/,binance,cripto,https://accounts.binance.com/es/login
https://netflix-seguro.com/index.php,netflix,streaming,https://www.amazon.es/ap/signin
https://www.ing-appmovil-inicio.com/,ing,banca,https://www.openbank.es/?toggleLogin&go-to-app=0
https://www.ing-web-inicios.com/,ing,banca,https://www.ing.es/
https://www.ing-es-movil.com/,ing,banca,https://www.openbank.es/app-openbank
https://seguridad-ingclientes.com/es,ing,banca,https://www.ing.es/seguridad-internet
http://vodafone.accept-term.com,vodafone,telecomunicaciones,https://m.vodafone.es/mves/login
https://aviso-caixa.digital/inicio/enter,caixabank,banca,https://www.caixabank.es/empresa/home/empresas_es.html
http://movistarui.vip,movistar,telecomunicaciones,https://www.movistar.es/area-cliente/mi-cuenta/
https://santanderib.com,santander,banca,https://www.bancosantander.es/particulares
https://pago-master.digital/Confirmacio%CC%81n%20de%20Pago.html,genérico,genérico,https://www.bancomediolanum.es/es-ES/la-banca-personal/
https://dhl.com-esoo.top/es,dhl,logística,https://login.decathlon.net/sign-in
https://netflix-reglamentos.info/pages/,netflix,streaming,https://ver.flixole.com/log-in
http://srv235099.hoster-test.ru/BBVA-PAGINA,bbva,banca,https://www.bbva.es/nimbus/signin.html
http://bancaonline0103.webcindario.com/home.php,genérico,banca,https://bancaelectronica.abanca.com
http://www.habbocreditosparati.blogspot.com/,Habbo,gaming,https://www.habbo.es
https://activartarjetabp.webcindario.com,BP,energía,https://mibp.es/es/welcome
https://digitalefectiva.webcindario.com/Efe/,genérico,banca,https://www.abanca.com/es/
https://galiciaseguridad.myportfolio.com/,genérico,genérico,https://areadeclientes.mapfre.es
https://hdseguridad.webcindario.com/,genérico,genérico,https://www.mutua.es/acceso-area-personal/#/login
https://kmctayurvedacollege.org/ingresoseguro/,genérico,banca,https://www.bancsabadell.com/bsnacional/es/particulares/servicios-de-banca-digital/
https://l.ead.me/modifica-tu-entrega,genérica,logística,https://www.correosexpress.es/es/herramientas/localizador-de-envios
https://misaki4552.github.io/Pagina-instagram/,instagam,redes sociales,https://www.instagram.com/accounts/password/reset/
https://my.forms.app/dpdservicioexpress/modulodiaperturacontodpd,dpd,logística,https://www.seur.com/miseur/home
https://serviciodecorreo.es/,genérico,saas,https://login.yahoo.com/
https://sites.google.com/view/habilitaciondeacceso/p%C3%A1gina-principal,genérico,genérico,https://www.iberdrola.es/wclifral/login/loginUnicoForm
https://sites.google.com/view/serviciosexclusivos/p%C3%A1gina-principal,genérico,genérico,https://www.iberia.com/es/iberiaplus/recuperar-password/
https://www.ing-appmovil-inicio.com,ing,banca,https://seguridad.bankinter.com/gestion/es-es/
https://ampliaciones.zonasolicitudeampliacion.click/,genérico,genérico,https://venta.renfe.com/vol/loginParticular.do
https://appcanaldigital.com/,genérico,telecomunicaciones,https://miyoigo.yoigo.com/login
https://clientepresenteado.digital/inicio,genérico,genérico,https://web.whatsapp.com
http://bancosantaderonline.com,santander,banca,https://www.bancosantander.es/empresas/banca-online
http://bancosantander.es.hotelparadis.es/aviso/db5359497aecd83/login.php,santander,banca,https://www.bancosantander.es/particulares/banca-online/seguridad-online
https://banco-galicia-online.com/galicia/confirm,banco galicia,banca,https://www.caixabank.es/particular/home/particulares_es.html
https://bbva.es.personal-cuenta.info/personal/index.php?tegdfs?,bbva,banca,https://www.bbva.es/personas/banca-online
https://bbva.soporte-web.info/login,bbva,banca,https://www.bbva.es/general/seguridad.html
https://corroes-ep.top/es,correos,logística,https://www.correos.es/es/es/herramientas/localizador/envios
https://lastbut-bc9a4f.ingress-florina.ewp.live/wp-admin/bbva/area_cliente/confirmacionMovil.html,bbva,banca,https://movil.bbva.es/apps/woody/index.html
https://www.seguridadsabadell.com,sabadell,banca,https://www.bancsabadell.com/bsnacional/es/particulares/login/
