url,matched_target,fecha_hora_recoleccion,fuente,categoria,notas
http://caixacapitalrisc.send2sign.es/login,CaixaBank,2025-07-28 12:05:48,PhishTank,banca,suplantación filial de riesgo de Caixa
http://cn83141.tw1.ru/DGT,DGT,2025-07-28 12:05:48,PhishTank,publico,"Dominio ruso, pero dirigido a la DGT"
http://f1150151.xsph.ru/Orange/login.php,orange,2025-07-28 12:05:48,PhishTank,telecomunicaciones,"hosting .ru, phishing contra orange, podria ser fr o sp"
https://authspacemon.webcindario.com/orangebank/index.php?pwd=TaTe,orange,2025-07-28 12:05:48,PhishTank,banca,"Orange Bank, spuplantación de subruta, alojado en webcindario"
https://bit.ly/-ICorreos,Correos,2025-07-28 12:05:48,PhishTank,logística,"duplicada, no se añade"
https://bit.ly/Correos-ESP,Correos,2025-07-28 12:05:48,PhishTank,logística,"phishing con acortador, marca correos"
https://bit.ly/ICorreosProgramar,Correos,2025-07-28 12:05:48,PhishTank,logística,no se inclute para evitar ruido de duplicados
https://bit.ly/correos--gocl,Correos,2025-07-28 12:05:48,PhishTank,logística,no se inclute para evitar ruido de duplicados
https://bit.ly/correos-cl01,Correos,2025-07-28 12:05:48,PhishTank,logística,no se inclute para evitar ruido de duplicados
https://bit.ly/llCorreos,Correos,2025-07-28 12:05:48,PhishTank,logística,no se inclute para evitar ruido de duplicados
https://bit.ly/pagos_correos,Correos,2025-07-28 12:05:48,PhishTank,logística,no se inclute para evitar ruido de duplicados
https://correos-paqueteria.com/,Correos,2025-07-28 12:05:48,PhishTank,logistica,uso directo de marca correos
https://correosdecr.web.app,Correos,2025-07-28 12:05:48,PhishTank,logistica,"hosting en .we.app, muy típico"
https://correoses.app.link/dominios,Correos,2025-07-28 12:05:48,PhishTank,logística,uso Branch.io para redirección
https://extremas.com.ar/styles/ccDGT/DGT/,DGT,2025-07-28 12:05:48,PhishTank,público,"Dominio argentino comprometido, orientado a DGT España"
https://l.ead.me/BBVA24,bbva,2025-07-28 12:05:48,PhishTank,banca,Url acortada con redirección a phishing de BBVA
https://l.ead.me/Bbva_login,bbva,2025-07-28 12:05:48,PhishTank,banca,Url acortada con redirección a phishing de BBVA
https://l.ead.me/correos-web,Correos,2025-07-28 12:05:48,PhishTank,logistica,"url acortada en ead.me, campaña dirigida a Correos"
https://orangebank.mailerpage.io/,orange,2025-07-28 12:05:48,PhishTank,banca,Puede estar vinculado a campañas en Francia
https://orangess.contactin.bio/,orange,2025-07-28 12:05:48,PhishTank,telecomunicaciones,Uso de bio-links
https://orangeswebsite-d411.uscreen.io/,orange,2025-07-28 12:05:48,PhishTank,telecomunicaciones,"Saas (uscreen.io), referencia a Orange"
https://particulares-netbancosantander.firebaseapp.com/,banco santander,2025-07-28 12:05:48,PhishTank,banca,"Hosting Firebase, subdominio fraudulento"
https://particulares-netbancosantander.web.app/,banco santander,2025-07-28 12:05:48,PhishTank,banca,hosting gratuito (Google Firebase/Web.app
