url,sector,entidad,domain_length,domain_entropy,suspicious_path_token,num_params,contains_equal,protocol,tld_group,trusted_path_token,contains_percent,free_hosting
http://000o8dc.wcomhost.com/www.santanderbanco.es/bancosantander/es/particulares/Santander/085a79cda16f5e151892fc6d32ab48ae/firma_electronica.php,banca,santander,8,2.75,1,0,0,0,com,0,0,0
http://044088d.wcomhost.com/www.santanader.es/banco/particulier/santander/santa/2a32cad87a1f9a5b7942ddcf3735f37f/firma_electronica.php,banca,santander,8,2.75,1,0,0,0,com,0,0,0
http://122.114.173.242:30/bancosantander.es/particulares.php,,,15,2.389898095464287,1,0,0,0,otros,0,0,0
http://correos.es-es-es-herramientas-localizador-envios.u962745a2w.ha005.t.justns.ru/71da2eb1bb4778f/sms/index.html,logistica,correos,6,2.2516291673878226,1,0,0,0,otros,0,0,0
http://correos-pay-paquete-tasa845246254.cliente-info.es/info/soporte/auth,logistica,correos,12,3.084962500721156,0,0,0,0,es,0,0,0
http://emotea.es/wp-includes/pomo/Now/caixa/area%20cliente/id/19465737527/espncaxa/espncaxa/clients/loginbankia.php,banca,bankia,6,2.2516291673878226,1,0,0,0,es,1,1,0
http://ing-banco.es.swtest.ru/ing/ing/loading.php?link=sms_code_error,banca,ing,6,1.9182958340544896,1,1,1,0,otros,0,0,0
http://ing-banco.es.swtest.ru/ing/ing/phone.php,banca,ing,6,1.9182958340544896,1,0,0,0,otros,0,0,0
http://ing.es-accesospanel.info/loginon.php,banca,ing,15,3.0062389286533895,1,0,0,0,otros,1,0,0
http://kbv.dnz.mybluehost.me/wp-admin/correos.es/servicios.paquete/pagomente,logistica,correos,10,3.3219280948873626,0,0,0,0,otros,0,0,0
http://keyfono.es/modules/jmsslider/views/img/layers/bankia/hola/acceso-clientes,banca,caixaBank ,7,2.521640636343318,1,0,0,0,es,1,0,0
http://loc2.caixabank.es.ay-min.az/gpeticiones,banca,caixaBank ,6,2.584962500721156,0,0,0,0,otros,0,0,0
http://loc4.caixabank.es.gpeticiones.weblogicsession.ay-min.az/lacaixa/home,banca,caixaBank,6,2.584962500721156,0,0,0,0,otros,0,0,0
http://loc4.caixabank.es.gpeticiones.weblogicsession.ay-min.az/lacaixa/home/codigo.html,banca,caixabank,6,2.584962500721156,1,0,0,0,otros,0,0,0
http://loc52.caixabank.es.lacaixa.actualizar.information.ay-min.az/soporte-directonow/home/codigo.html,banca,caixbank,6,2.584962500721156,1,0,0,0,otros,0,0,0
http://loc52.caixabank.es.lacaixa.actualizar.information.ay-min.az/soporte-directonow/home/Espera.html,banca,caixabank,6,2.584962500721156,1,0,0,0,otros,0,0,0
http://loc52.caixabank.es.lacaixa.actualizar.information.ay-min.az/soporte-directonow/home/Forma.html,banca,caixabank,6,2.584962500721156,1,0,0,0,otros,0,0,0
http://loc52.caixabank.es.lacaixa.actualizar.information.ay-min.az/soporte-directonow/home/Tarjeta.html,banca,caixabank,6,2.584962500721156,1,0,0,0,otros,0,0,0
http://mi-bankia.es-accessoclientes.info,banca,bankia,18,3.016875695766564,0,0,0,0,otros,0,0,0
http://nuevo.eurocollege.es/old/wp-includes/simplepie/content/type/inf-comfirmation.php,,,11,2.6635327548042547,1,0,0,0,es,0,0,0
