url,label,sector,entidad,notas,campaign,domain_complexity,domain_whitelist,trusted_token_context,host_entropy,infra_risk,brand_in_path,brand_match_flag
https://empleo.bbva.com/es/trabaja-con-nosotros/ofertas,0,banca,bbva,hard-legit genérica,,0.3417700450441065,0,0,2.2516291673878226,0.0,0,1
https://www.openbank.es/hipotecas/hipoteca-open,0,banca,openbank,hard-legit genérica,,0.0,1,1,-0.0,0.0,0,0
https://www.imaginbank.com/es/landing/seguros-viaje,0,banca,imaginbank,hard-legit genérica,,0.8409487732108576,0,-1,-0.0,0.0,0,0
https://portalempleo.caixabank.com/candidatos/registro,0,banca,caixabank,hard-legit genérica,,0.8225899091294264,0,0,2.918295834054489,0.0,0,1
https://relacionconinversores.santander.com/es/informacion-financiera,0,banca,santander,hard-legit genérica,,0.0,1,1,3.200910279509528,0.0,0,0
https://unicajabanco.es/es/particulares/seguros-de-hogar,0,banca,unicajabanco,hard-legit genérica,,0.0,1,1,0.0,0.0,0,0
https://www.jazztel.com/ayuda/internet/configuracion-router,0,telco,jazztel,hard-legit genérica,,0.7904100072913001,0,0,-0.0,0.0,0,1
https://o2online.es/ayuda/preguntas-frecuentes/,0,telco,o2,hard-legit genérica,,0.7874439032331103,0,-1,0.0,0.0,0,0
https://www.simyo.es/ayuda/facturas,0,telco,simyo,hard-legit genérica,,0.4138078618152195,0,-1,-0.0,0.0,0,0
https://www.movistarplus.es/ayuda/dispositivos/como-ver-movistar-plus,0,telco,movistarplus,hard-legit genérica,,0.0,1,1,-0.0,0.0,0,1
https://www.orange.es/autogestion/seguridad/cambio-password,0,telco,orange,hard-legit genérica,,0.0,1,1,-0.0,0.0,0,1
https://www.zara.com/es/es/ayuda/pedidos-y-envios,0,ecommerce,zara,hard-legit genérica,,0.3417700450441065,0,-1,-0.0,0.0,0,0
https://www.ikea.com/es/es/customer-service/returns/,0,ecommerce,ikea,hard-legit genérica,,0.3869059498668641,0,-1,-0.0,0.0,0,0
https://www.decathlon.es/es/ayuda/tarjeta-regalo,0,ecommerce,decathlon,hard-legit genérica,,0.0,1,1,-0.0,0.0,0,1
https://www.pccomponentes.com/ayuda/gestion-de-garantias,0,ecommerce,pccomponentes,hard-legit genérica,,0.0,1,1,-0.0,0.0,0,0
https://www.renfe.com/es/es/viajar/cercanias/billetes-y-abonos,0,transporte,renfe,hard-legit genérica,,0.38531113156193914,0,-1,-0.0,0.0,0,0
https://sede.madrid.es/portal/site/tramites/menu-item?tramite=certificados,0,publico,ayto_madrid,hard-legit genérica,,0.0,1,1,1.5,0.0,0,1
https://www.gencat.cat/es/tramits/cercador/,0,publico,gencat,hard-legit genérica,,0.7909268529193807,0,-1,-0.0,0.0,0,0
https://www.aragon.es/tramites/ayudas-y-subvenciones,0,publico,aragon,hard-legit genérica,,0.0,1,1,-0.0,0.0,0,1
https://castillalamancha.es/gobierno/educacion/servicios/tramites,0,publico,castillalamancha,hard-legit genérica,,0.8878155050225935,0,-1,0.0,0.0,0,0
https://www.murcia.es/servicios/informacion/registro,0,publico,ayto_murcia,hard-legit genérica,,0.43939926960630044,0,-1,-0.0,0.0,0,0
https://www.uam.es/uam/estudios/grados/informacion,0,educacion,uam,hard-legit genérica,,0.0,1,1,-0.0,0.0,0,1
https://www.uv.es/uvweb/universitat/es/estudis/graus/oferta,0,educacion,uv,hard-legit genérica,,0.0,1,1,-0.0,0.0,0,1
https://unirioja.es/servicios/biblioteca/recursos-electronicos,0,educacion,unirioja,hard-legit genérica,,0.0,1,1,0.0,0.0,0,1
https://www.us.es/estudios/admision/grados,0,educacion,us,hard-legit genérica,,0.0,1,1,-0.0,0.0,0,1
https://www.iberdrola.es/servicios/consultas-factura,0,energia,iberdrola,hard-legit genérica,,0.0,1,1,-0.0,0.0,0,1
https://www.endesa.com/es/clientes/luz/tarifas,0,energia,endesa,hard-legit genérica,,0.744200739377954,0,-1,-0.0,0.0,0,0
https://www.naturgy.es/particulares/autogestion/pagos,0,energia,naturgy,hard-legit genérica,,0.8208822068522776,0,-1,-0.0,0.0,0,0
https://www.dropbox.com/help/security/two-step-verification,0,saas,dropbox,hard-legit genérica,,0.0,1,1,-0.0,0.0,0,0
https://www.atlassian.com/es/software/jira/pricing,0,saas,atlassian,hard-legit genérica,,0.0,1,1,-0.0,0.0,0,0
