url,matched_target,fuente,categoria,url_base,campaign_group,DS final,Motivos,_in,domain,_es,_shortener,_freehost,ruido_num,_geo,_es_kw,_badness
http://caixacapitalrisc.send2sign.es/login,caixabank,phishtank,banca,caixacapitalrisc.send2sign.es/login,send2sign.es/login,1.0,.es + Caixa en subdominio (SaaS tercero) + /login → impersonación por subdominio,1.0,caixacapitalrisc.send2sign.es,FALSE,FALSE,FALSE,,,TRUE,
https://b9xja.dgnsvwrk.es/DwD9I@prmk4JYY2V/*toto@microsoft.com,microsoft,phishtank,saas,b9xja.dgnsvwrk.es/dwd9i@prmk4jyy2v/*toto@microsoft.com,dgnsvwrk.es/dwd9i@prmk4jyy2v,1.0,.es + marca (microsoft) en la ruta + ofuscación (token + email en path) → patrón SaaS muy útil,1.0,b9xja.dgnsvwrk.es,FALSE,FALSE,FALSE,,,FALSE,
https://robllox.com.es,roblox,tweetfeed,gaming,robllox.com.es,robllox.com.es,1.0,typosquatting de Roblox + TLD .com.es (orientación ES),1.0,robllox.com.es,TRUE,FALSE,FALSE,,,FALSE,
https://zooominvitenotice.es/project/Windows/invite.php,zoom,tweetfeed,saas,zooominvitenotice.es/project/windows/invite.php,zooominvitenotice.es/project,1.0,typosquatting de Zoom + TLD .es + invite.php (flujo típico de invitación) → SaaS claro,1.0,zooominvitenotice.es,FALSE,FALSE,FALSE,,,FALSE,
https://robiox.com.es,roblox,tweetfeed,gaming,robiox.com.es,robiox.com.es,1.0,typosquatting de Roblox + .com.es (orientación ES),1.0,robiox.com.es,TRUE,FALSE,FALSE,,,FALSE,
http://unicismadrid.es/wp-content/com/index/ch/login.html,universidad de madrid,tweetfeed,público,unicismadrid.es/wp-content/com/index/ch/login.html,unicismadrid.es/wp-content,1.0,web .es comprometida (WordPress) + ruta /login; sector público/edu,1.0,unicismadrid.es,FALSE,FALSE,FALSE,,,TRUE,
https://authline-checkappr0v.com.es/7aIT03j82stf28&sp_aqd=d2lkZ264DGsrFT5vGFGhuTrytrfgUygHjuyTtyYtFGbXJhaQ&th=3/,genérico,tweetfeed,genérico,authline-checkappr0v.com.es/7ait03j82stf28&sp_aqd=d2lkz264dgsrft5vgfghutrytrfguyghjuyttyytfgbxjhaq&th=3,authline-checkappr0v.com.es/7ait03j82stf28&sp_aqd=d2…,1.0,.com.es + semántica auth/approve con “0” (obfuscación) + tokens en ruta ⇒ fake login no–acortador / no host gratuito,1.0,authline-checkappr0v.com.es,FALSE,FALSE,FALSE,,,FALSE,
https://koinbay-login.es,Coinbase,tweetfeed,cripto,koinbay-login.es,koinbay-login.es,1.0,typosquatting de Coinbase + .es,1.0,koinbay-login.es,TRUE,FALSE,FALSE,,,TRUE,
https://boxperience.es/cuenta/es-ing/ing,ing,tweetfeed,banca,boxperience.es/cuenta/es-ing/ing,boxperience.es/cuenta,1.0,.es + posible web comprometida + marca ING en ruta,1.0,boxperience.es,FALSE,FALSE,FALSE,,,TRUE,
http://authline-checkappr0v.com.es,genérico,tweetfeed,genérico,authline-checkappr0v.com.es,authline-checkappr0v.com.es,1.0,.com.es + lexemas auth/approve con “0” → fake login,1.0,authline-checkappr0v.com.es,TRUE,FALSE,FALSE,,,FALSE,
http://serv-authveriline.com.es,genérico,tweetfeed,genérico,serv-authveriline.com.es,serv-authveriline.com.es,1.0,.com.es + mezcla auth/verify → fake login,1.0,serv-authveriline.com.es,TRUE,FALSE,FALSE,,,FALSE,
https://asesoriabarrachina.es/wp-includes/strato/?user-agent=Mozilla/5.0+(Windows+NT+10.0,genérico,tweetfeed,genérico,asesoriabarrachina.es/wp-includes/strato,asesoriabarrachina.es/wp-includes,1.0,web .es comprometida(WordPress),1.0,asesoriabarrachina.es,FALSE,FALSE,FALSE,,,FALSE,
https://coinbasewalletsupport.es,coinbase,tweetfeed,cripto,coinbasewalletsupport.es,coinbasewalletsupport.es,1.0,abuso de marca Coinbase + .es,1.0,coinbasewalletsupport.es,TRUE,FALSE,FALSE,,,FALSE,
http://secretosbp.es/DROPBOX/DROPBOX/vinc/,dropbox,tweetfeed,saas,secretosbp.es/dropbox/dropbox/vinc,secretosbp.es/dropbox,1.0,.es + ruta de marca (Dropbox) → impersonación por ruta,1.0,secretosbp.es,FALSE,FALSE,FALSE,,,FALSE,
https://app-ing.direct-ayuda.com,ing,PhishTank,banca,app-ing.direct-ayuda.com (https),direct-ayuda.com,1.0,subdominio “app-ing”+ español en dominio ⇒ phishing ING,1.0,app-ing.direct-ayuda.com (https),FALSE,FALSE,FALSE,,,FALSE,
https://app-ing.direct-ayuda.com/esapp/,ing,PhishTank,banca,app-ing.direct-ayuda.com/esapp,direct-ayuda.com/esapp,1.0,Variante con subruta → mantener diversidad de flujo,1.0,app-ing.direct-ayuda.com,FALSE,FALSE,FALSE,,,FALSE,
https://correos-paqueteria.com/asset.php,correos,PhishTank,logística,correos-paqueteria.com/asset.php,correos-paqueteria.com/asset.php,1.0,marca ES (Correos) en dominio + “paquetería” (ES) + ruta asset.php típica de kit,1.0,correos-paqueteria.com,FALSE,FALSE,FALSE,,,TRUE,
https://dgtt48.lat/yyjxzpjg/e2Walj/7,dgt,PhishTank,publico,dgtt48.lat/yyjxzpjg/e2walj/7,dgtt48.lat/yyjxzpjg,1.0,DGT en dominio + tokens/ruta ofuscada; ejemplo sin acortador(útil),1.0,dgtt48.lat,FALSE,FALSE,FALSE,,LAT,FALSE,
https://extremas.com.ar/styles/ccDGT/DGT/cc.php,dgt,PhishTank,público,extremas.com.ar/styles/ccdgt/dgt/cc.php,extremas.com.ar/styles,1.0,DGT en ruta + TLD .com.ar(caso realista fuera de .es) → cross-host válido,1.0,extremas.com.ar,FALSE,FALSE,FALSE,,AR,FALSE,
https://ingbanksecure.com/,ing,PhishTank,banca,ingbanksecure.com,ingbanksecure.com,1.0,marca ING en dominio + “secure” (login) → directo y claro,1.0,ingbanksecure.com,FALSE,FALSE,FALSE,,,FALSE,
https://l.ead.me/DGTspain,dgt,PhishTank,público,l.ead.me/dgtspain,l.ead.me/dgtspain,1.0,acortador + DGT; dejamos 1representativo,1.0,l.ead.me,FALSE,TRUE,FALSE,,,FALSE,
