url,label,categoria,matched_target,campaign,motivos
http://caixacapitalrisc.send2sign.es/login,1,banca,caixabank,send2sign.es/login,.es + Caixa en subdominio (SaaS tercero) + /login → impersonación por subdominio
https://b9xja.dgnsvwrk.es/DwD9I@prmk4JYY2V/*toto@microsoft.com,1,saas,microsoft,dgnsvwrk.es/dwd9i@prmk4jyy2v,.es + marca (microsoft) en la ruta + ofuscación (token + email en path) → patrón SaaS muy útil
https://robllox.com.es,1,gaming,roblox,robllox.com.es,typosquatting de Roblox + TLD .com.es (orientación ES)
https://zooominvitenotice.es/project/Windows/invite.php,1,saas,zoom,zooominvitenotice.es/project,typosquatting de Zoom + TLD .es + invite.php (flujo típico de invitación) → SaaS claro
https://robiox.com.es,1,gaming,roblox,robiox.com.es,typosquatting de Roblox + .com.es (orientación ES)
http://unicismadrid.es/wp-content/com/index/ch/login.html,1,público,universidad de madrid,unicismadrid.es/wp-content,web .es comprometida (WordPress) + ruta /login; sector público/edu
https://authline-checkappr0v.com.es/7aIT03j82stf28&sp_aqd=d2lkZ264DGsrFT5vGFGhuTrytrfgUygHjuyTtyYtFGbXJhaQ&th=3/,1,genérico,genérico,authline-checkappr0v.com.es/7ait03j82stf28&sp_aqd=d2…,.com.es + semántica auth/approve con “0” (obfuscación) + tokens en ruta ⇒ fake login no–acortador / no host gratuito
https://koinbay-login.es,1,cripto,coinbase,koinbay-login.es,typosquatting de Coinbase + .es
https://boxperience.es/cuenta/es-ing/ing,1,banca,ing,boxperience.es/cuenta,.es + posible web comprometida + marca ING en ruta
http://authline-checkappr0v.com.es,1,genérico,genérico,authline-checkappr0v.com.es,.com.es + lexemas auth/approve con “0” → fake login
http://serv-authveriline.com.es,1,genérico,genérico,serv-authveriline.com.es,.com.es + mezcla auth/verify → fake login
https://asesoriabarrachina.es/wp-includes/strato/?user-agent=Mozilla/5.0+(Windows+NT+10.0,1,genérico,genérico,asesoriabarrachina.es/wp-includes,web .es comprometida(WordPress)
https://coinbasewalletsupport.es,1,cripto,coinbase,coinbasewalletsupport.es,abuso de marca Coinbase + .es
http://secretosbp.es/DROPBOX/DROPBOX/vinc/,1,saas,dropbox,secretosbp.es/dropbox,.es + ruta de marca (Dropbox) → impersonación por ruta
https://app-ing.direct-ayuda.com,1,banca,ing,direct-ayuda.com,subdominio “app-ing”+ español en dominio ⇒ phishing ING
https://app-ing.direct-ayuda.com/esapp/,1,banca,ing,direct-ayuda.com/esapp,Variante con subruta → mantener diversidad de flujo
https://correos-paqueteria.com/asset.php,1,logística,correos,correos-paqueteria.com/asset.php,marca ES (Correos) en dominio + “paquetería” (ES) + ruta asset.php típica de kit
https://dgtt48.lat/yyjxzpjg/e2Walj/7,1,público,dgt,dgtt48.lat/yyjxzpjg,DGT en dominio + tokens/ruta ofuscada; ejemplo sin acortador(útil)
https://extremas.com.ar/styles/ccDGT/DGT/cc.php,1,público,dgt,extremas.com.ar/styles,DGT en ruta + TLD .com.ar(caso realista fuera de .es) → cross-host válido
https://ingbanksecure.com/,1,banca,ing,ingbanksecure.com,marca ING en dominio + “secure” (login) → directo y claro
https://l.ead.me/DGTspain,1,público,dgt,l.ead.me/dgtspain,acortador + DGT; dejamos 1representativo
https://www.app-ingmovil-cliente.com,1,banca,ing,app-ingmovil-cliente.com,marca ING + español en dominio (app/cliente/móvil) → phishing claro
https://www.ing-es-movil.com,1,banca,ing,ing-es-movil.com,marca ING + es/movil → orientación ES evidente
http://soporte_ionos.viajoencoche.es/?rid=48Y9hLX,1,saas,ionos,viajoencoche.es,subdominio “soporte_ionos” sobre .es comprometido → impersonación por subdominio
http://www.ionosesfacturas.rf.gd/?i=1,1,saas,ionos,ionosesfacturas.rf.gd,host gratuito + IONOS (es-”facturas”) → ejemplo útil de free-host con marca
https://admin.multa.net/,1,público,dgt,multa.net,DGT (multa) sin acortador; host dedicado → caso de alta calidad
https://idt.oc.cuenta.lonos-facturacion-1and1.enfoquerhgt.com/identifier?pageMessage=wrong-mandant-redirect~~activating&login_hint,1,saas,ionos,enfoquerhgt.com/identifier,IONOS/1&1 en subdominio de tercero + /identifier → impersonación por subdominio
https://ingsecusecuring.web.app/,1,banca,ing,web.app,marca ING en cloud free (patrón realista)
https://nflx-cuenta.com/,1,streaming,netflix,nflx-cuenta.com,Netflix abreviado (nflx) + “cuenta” (ES) → typosquatting claro
https://online.multa.net/,1,público,dgt,multa.net,DGT sin acortador; segundo flujo del mismo host
https://orangepro0.godaddysites.com/,1,telecomunicaciones,orange,orangepro0.godaddysites.com,Orange en host gratuito (GoDaddy Sites) → patrón de kit en free host
https://restablecer-cuenta-outlookk.zya.me/,1,saas,outlook,restablecer-cuenta-outlookk.zya.me,Outlook en host + castellano (“restablecer-cuenta”) + patrón free host
https://soporte-netflx.com/,1,streaming,netflix,soporte-netflx.com,Netflix typos (netflx) + “soporte” (ES) → phishing claro
https://alerta-cliente.app,1,genérico,genérico,alerta-cliente.app,.app + castellano (“alerta-cliente”)→ patrón banca/teleco sin acortador
https://alertascliente.webcindario.com/,1,genérico,genérico,alertascliente.webcindario.com,castellano + host gratuito (kit típico)
https://infotecnikas.es/re.html,1,genérico,genérico,infotecnikas.es/re.html,.es comprometido(ruta mínima) → caso realista no-marca
https://iradgt.com/Alibaba/alibaba/index.php,1,público,dgt,iradgt.com/alibaba,"DGT en dominio (no acortador), ruta de kit"
https://pendientesdeti.es/6d6116da#redacted@abuse.ionos.com,1,genérico,genérico,pendientesdeti.es/6d6116da,.es + dominio en castellano (“pendientes de ti”) + token en ruta → genérico ES de calidad
https://sites.google.com/view/ruraless/p%C3%A1gina-principal,1,banca,caja rural,sites.google.com/ruraless,Caja Rural en Google Sites+ castellano → buen representativo
https://w.aviso-cliente.net,1,banca,genérico,aviso-cliente.net,Dominio dedicado con castellano (“aviso-cliente”) → patrón banca/teleco sin acortador
https://authspacemon.webcindario.com/orangebank/index.php?pwd=TaTe,1,banca,orange,webcindario.com/orangebank,Orange Banken host gratuito(Webcindario) + /index.php→ kit típico
http://avisonlines-ahorro.0hi.me/?i=3,1,banca,genérico,avisonlines-ahorro.0hi.me,Free host 0hi.me + castellano bancario (“aviso/ahorro”) → cubre patrón
https://acceso-bloqueado.webcindario.com/validacion/validecard.html,1,banca,genérico,webcindario.com/validacion,Castellano (“acceso-bloqueado/validación”) + card → banca realista en free host
https://alertabarural.webcindario.com/,1,banca,caja rural,webcindario.com/alertabarural,Caja Rural + castellano en webcindario → buen representativo de banca en free host
https://app.biaclientefonefacil.digital,1,telecomunicaciones,genérico,biaclientefonefacil.digital,Teleco campaña dedicada en dominio propio; castellano → útil y no free host
https://comprastokenbip.webcindario.com/inicio.html,1,cripto,genérico,webcindario.com/comprastokenbip,Cripto tokens en webcindario (representativo del patrón); mantenemos 1 y descartamos el otro
https://enlineaprestamo.webcindario.com/,1,banca,genérico,webcindario.com/enlineaprestamo,Castellano financiero (“préstamo”) en host gratuito → patrón realista (1 muestra de “loan scam” ES en webcindario).
https://facturapostpago.com/,1,telecomunicaciones,genérico,facturapostpago.com,"Teleco + “postpago”(ES) en dominio propio→ campaña dedicada, no free host."
https://form.123formbuilder.com/6236576/para-sms-formulario-de-autorizacion-envio-clave-ivr,1,banca,genérico,123formbuilder.com/6236576,Formulario público con texto en castellano(SMS/IVR) → cubrir arquetipo forms-as-phish.
https://merenciano.net/serviciodecorreo/login/,1,saas,genérico,merenciano.net/serviciodecorreo,Sitio comprometido+ “servicio de correo/login”(ES) → caso no-.es pero claro.
https://portaldigitalclientefeliz.blogspot.com/?gclid=EAIaIQobChMI27GY3K22_QIVzylMCh1KoQmjEAMYASAAEgKlr_D_BwE,1,genérico,genérico,blogspot.com/portaldigitalclientefeliz,Blogspot (free)+ castellano (“portal/cliente”) → incluir 1muestra de Blogspot.
https://recibo-de-pago.weebly.com/,1,genérico,genérico,weebly.com/recibo-de-pago,Weebly (free) + castellano (“recibo de pago”) → cubrir 1 muestra de Weebly.
https://sites.google.com/view/confirmaciondedatos/p%C3%A1gina-principal,1,genérico,genérico,sites.google.com/confirmaciondedatos,Google Sitesgenérico en castellano (“confirmación de datos”) → 1 muestra genérica(además de la de Caja Rural).
https://validar-tarjeta.webcindario.com/,1,banca,genérico,webcindario.com/validar-tarjeta,Castellano banca (“validar-tarjeta”) en host gratuito → buen patrón de fraude de tarjeta.
https://walletconnect.com-secure.es/,1,cripto,walletconnect,walletconnect.com-secure.es,Cripto/WalletConnect + “.com-secure”(impersonación) + .es → claro y útil.
https://bit.ly/Correos-ESP,1,logística,correos,bit.ly/correos-esp,Acortador + Correos explícito (“ESP”) → dejamos este como representativo.
