url,sector,entidad
http://000o8dc.wcomhost.com/www.santanderbanco.es/bancosantander/es/particulares/Santander/085a79cda16f5e151892fc6d32ab48ae/firma_electronica.php,banca,santander
http://044088d.wcomhost.com/www.santanader.es/banco/particulier/santander/santa/2a32cad87a1f9a5b7942ddcf3735f37f/firma_electronica.php,banca,santander
http://122.114.173.242:30/bancosantander.es/particulares.php,,
http://correos.es-es-es-herramientas-localizador-envios.u962745a2w.ha005.t.justns.ru/71da2eb1bb4778f/sms/index.html,logistica,correos
http://correos-pay-paquete-tasa845246254.cliente-info.es/info/soporte/auth,logistica,correos
http://emotea.es/wp-includes/pomo/Now/caixa/area%20cliente/id/19465737527/espncaxa/espncaxa/clients/loginbankia.php,banca,bankia
http://ing-banco.es.swtest.ru/ing/ing/loading.php?link=sms_code_error,banca,ing
http://ing-banco.es.swtest.ru/ing/ing/phone.php,banca,ing
http://ing.es-accesospanel.info/loginon.php,banca,ing
http://kbv.dnz.mybluehost.me/wp-admin/correos.es/servicios.paquete/pagomente,logistica,correos
http://keyfono.es/modules/jmsslider/views/img/layers/bankia/hola/acceso-clientes,banca,caixaBank 
http://loc2.caixabank.es.ay-min.az/gpeticiones,banca,caixaBank 
http://loc4.caixabank.es.gpeticiones.weblogicsession.ay-min.az/lacaixa/home,banca,caixaBank
http://loc4.caixabank.es.gpeticiones.weblogicsession.ay-min.az/lacaixa/home/codigo.html,banca,caixabank
http://loc52.caixabank.es.lacaixa.actualizar.information.ay-min.az/soporte-directonow/home/codigo.html,banca,caixbank
http://loc52.caixabank.es.lacaixa.actualizar.information.ay-min.az/soporte-directonow/home/Espera.html,banca,caixabank
http://loc52.caixabank.es.lacaixa.actualizar.information.ay-min.az/soporte-directonow/home/Forma.html,banca,caixabank
http://loc52.caixabank.es.lacaixa.actualizar.information.ay-min.az/soporte-directonow/home/Tarjeta.html,banca,caixabank
http://mi-bankia.es-accessoclientes.info,banca,bankia
http://nuevo.eurocollege.es/old/wp-includes/simplepie/content/type/inf-comfirmation.php,,
http://particulares.bankia.es.butterflyfacepainting.com/1/es,banca,bankia
http://portalcliente.santander.computerrental.es,banca,santander
http://prettystep.temp.swtest.ru/www.caixabank.es/home,banca,caixabank
https://acceso-clientes.ingdirect.es-yu-ceunta.net/login,banca,ing
https://alderleamedical.com/sms/f1ba84040a0347b698e436cc9a1dc5fc/ing.es/login/a0347b698e436cc9a/7fb8b/pass.html,banca,ing
http://santander.es-banca.online,banca,santander
https://area.clientes-ingdiirect.es-eu.org/login,banca,ing
https://bancoing.es.ecoplant.com.co/source,banca,ing
https://bancoing.es.ecoplant.com.co/source/login.php?local=es,banca,ing
https://bancosantander.es.hotelparadis.es/aviso/03a253e1ba5bba8/login.php?signin,banca,santander
https://bancosantander.es-online-secure.com,banca,santander
https://bankia.es.particulares.englishpoint.in/sfartah/es,banca,bankia
https://bbva.es.suspension-tarjeta.com,banca,bbva
https://caixabank.es.cosmoinnovations.com/caixa-vbve_final/caixa-vbv/caixa-vbv/caixa-vbvfinal/home,banca,caixaBank 
https://caixabank.es.cosmoinnovations.com/caixa-vbve_final/caixa-vbv/caixa-vbv/caixa-vbvfinal/home/tarjeta2.html,banca,caixaBank
https://caixabank.es.particular.prohoster.biz/auth/access/clients/login.php,banca,caixabank
https://caixabank.es.particular.prohoster.biz/auth/access/clients/sms.php,banca,caixabank
https://caixabank.es.sabadent.ir/particular/holabank/online-banking/surf3.php?cmd=login_submit&id=8fef5d7f641561f369823443d4425a048fef5d7f641561f369823443d4425a04&session=8fef5d7f641561f369823443d4425a048fef5d7f641561f369823443d4425a04,banca,caixabank
https://caixabank.es.smi.com.np/particular/holabank/online-banking/surf3.php?cmd=login_submit&id=d35a7e316e36d955efc50a263930e74dd35a7e316e36d955efc50a263930e74d&session=d35a7e316e36d955efc50a263930e74dd35a7e316e36d955efc50a263930e74d,banca,caixabank
https://correos.es-agencia.co/cgi,logistica,correos
https://correosprepago.bnext.es/aco?token=0cwdxpp4zpn8k,logistica,correos
https://correosprepago.bnext.es/register?from=post_office&step=2-1&token=eyjhbgcioijiuzi1nij9.eyjwag9uzvbyzwzpeci6ijm0iiwic3viijoiytbjzmm3nzytn2jmmy00otk2ltg3n2ytmjrinda4ntm2ymi5iiwibgfzde5hbwuioiiilcjmaxjzde5hbwuioiiilcjzzwnvbmrmyxn0tmftzsi6iiisim5izii6mtc0mzg0mty0mcwicghvbmuioii2nzezmti5odiilcjyb2xlcyi6wyjvu0vsil0simlzcyi6invzzxjzlxnlcnzpy2uilcjlehaioje3ndm4nde5ndasimlhdci6mtc0mzg0mty0mh0.qtud3rhr3aauwmfl7oaox99pla06wfn0fheevtnt_jw,logistica,correos
https://cuenta.bankia.es.twocountieshogroast.co.uk/bankia-usuario,banca,bankia
https://dgt.mioficina-clientes.es/dgt/index.php?=conoce-la-dgt=quienes-somos=uestros-valores=dsbz-phpi8inn:q7r2cx-1srwb8dnbzvtsip9x7de8twmbn6jnksb4mkho1sfknqeyjfe2i,publico,dgt
https://draganov-8bb38d.ingress-erytho.easywp.com/error/ing.es/ing.es/es/ing,banca,ing
http://servisco-caixabank.es.swtest.ru/acceso/es/clients/login.php?verification,banca,caixaBank
https://info-cloud19909-ba2df9.ingress-florina.ewp.live/wp-admin/oscar/corsa/bienvenido%20a%20correos.es%20-%20el%20portal%20online%20de%20correos.html,logistica,correos
https://info-correos.es/sms-error.php,logistica,correos
https://ing-banco.es.swtest.ru/ing/ing/sms_code.php,banca,ing
https://ing.es-accesodirecto.info,banca,ing
https://ing.es-operaciones.com/inicio-sesion.php,banca,ing
https://ing.es-panelclientes.info/loginon.php,banca,ing
https://ing.es-validacionmovil.info,banca,ing
https://ing.es-zonacliente.info/loginon.php,banca,ing
https://ivresse.com/js/ionosv2/ionosv2/v/mail.ionos.es.utm_cmpaign=login.idauth=/?em=&id=4699541&utm_tem=3840062&utm_cmpaign=login&utm_mdium=1490673&utm_sorce=home&idauth=tvvpgpiesuxflzmomvvypufeecyczbwxsrtykexvwrgabxgpougzqlne,correo,ionos
https://lacaixabank.es.avro.az/lacaixa/home,banca,caixaBank
https://loc48.caixabank.es.ay-min.az/lacaixa/home,banca,caixabank
https://mail.ionos.es.ttschmidt.de/acceso_noescorrecta.html,correo,ionos
https://msantamobs.com/wp-admin/user/correos.es/servicios.pagomente.es/pagomente,logistica,correos
https://particular-caixabank.es.prohoster.biz/particulares_es/home,banca,caixaBank
https://servicioelportal-particulare-bc8925.ingress-daribow.ewp.live/anonos/corios/cliente/es/bienvenido%20a%20correos.es%20-%20el%20portal%20online%20de%20correos.html,logistica,correos
https://unicajabanco.es.bancagenra-li.com,banca,unicaja
https://wififpt.com.vn/es/bankia.es/es/acceso-clientes/acceso-clientes/es,banca,bankia
https://wififpt.com.vn/es/bankia.es/es/acceso-clientes/acceso-clientes/es/loading.php?link=info,banca,bankia
https://wordpress-893197-3098519.cloudwaysapps.com/wwww.correos.es/particulares/es/recibir_paquete.php,logistica,coreos
https://wordpress-916397-3181167.cloudwaysapps.com/bbva.es/bbva.es/cuenta/area_cliente,banca,bbva
https://www.coreos-tracking.es/sms-error.php,logistica,correos
https://www.servicio-ing.es/ap/app-login/?view=login&appidkey=fcd0,banca,ing
https://www.webspaceguy.com/knjh68515/caixabank.es/a/-cuenta/index.html,banca,caixabank
